reporting_month,market_mortgage_rate,unemployment_rate,hpi_yoy_growth
2019-01,4.464,4.0,0.04124
2019-02,4.37,3.8,0.0382
2019-03,4.265,3.8,0.03626
2019-04,4.1425,3.7,0.03527
2019-05,4.072,3.6,0.03409
2019-06,3.8025,3.6,0.03207
2019-07,3.765,3.7,0.03115
2019-08,3.616,3.6,0.03099
2019-09,3.605,3.5,0.03163
2019-10,3.688,3.6,0.03209
2019-11,3.695,3.6,0.03409
2019-12,3.72,3.6,0.03681
2020-01,3.624,3.6,0.04013
2020-02,3.465,3.5,0.043
2020-03,3.45,4.4,0.04577
2020-04,3.306,14.8,0.04598
2020-05,3.2325,13.2,0.04362
2020-06,3.1625,11.0,0.0438
2020-07,3.016,10.2,0.04841
2020-08,2.935,8.4,0.05834
2020-09,2.89,7.8,0.07043
2020-10,2.834,6.9,0.08415
2020-11,2.765,6.7,0.09522
2020-12,2.684,6.7,0.1042
2021-01,2.735,6.4,0.11313
2021-02,2.81,6.2,0.12191
2021-03,3.0825,6.1,0.13484
2021-04,3.06,6.1,0.15
2021-05,2.9625,5.8,0.16918
2021-06,2.975,5.9,0.18813
2021-07,2.868,5.4,0.19823
2021-08,2.8425,5.1,0.19956
2021-09,2.9,4.7,0.1967
2021-10,3.0675,4.5,0.19065
2021-11,3.0675,4.1,0.18803
2021-12,3.098,3.9,0.18863
2022-01,3.445,4.0,0.19247
2022-02,3.7625,3.9,0.20041
2022-03,4.172,3.7,0.20775
2022-04,4.9825,3.7,0.20711
2022-05,5.23,3.6,0.19918
2022-06,5.522,3.6,0.17981
2022-07,5.4125,3.5,0.15619
2022-08,5.2225,3.6,0.1294
2022-09,6.112,3.5,0.10668
2022-10,6.9,3.6,0.09119
2022-11,6.805,3.6,0.07523
2022-12,6.364,3.5,0.0563
2023-01,6.2725,3.5,0.03832
2023-02,6.2575,3.6,0.02223
2023-03,6.544,3.5,0.00852
2023-04,6.3425,3.4,2e-05
2023-05,6.425,3.6,-0.00292
2023-06,6.714,3.6,0.00085
2023-07,6.84,3.5,0.01089
2023-08,7.072,3.7,0.02678
2023-09,7.2,3.7,0.04047
2023-10,7.62,3.9,0.04788
2023-11,7.442,3.7,0.05174
2023-12,6.815,3.8,0.05669
2024-01,6.6425,3.7,0.06168
2024-02,6.776,3.9,0.06534
2024-03,6.82,3.9,0.06536
2024-04,6.9925,3.9,0.06389
2024-05,7.06,3.9,0.06008
2024-06,6.9175,4.1,0.05499
2024-07,6.8475,4.2,0.04946
2024-08,6.5,4.2,0.04308
2024-09,6.18,4.1,0.03901
2024-10,6.428,4.1,0.03568
2024-11,6.805,4.2,0.03732
2024-12,6.715,4.1,0.04002
2025-01,6.958,4.0,0.04159
2025-02,6.8425,4.2,0.03988
2025-03,6.65,4.2,0.03439
2025-04,6.725,4.2,0.02842
2025-05,6.816,4.3,0.02377
2025-06,6.8175,4.1,0.01944
2025-07,6.72,4.3,0.01647
2025-08,6.5875,4.3,0.01488
2025-09,6.3525,4.4,0.01307
2025-10,6.254,4.4,0.01323
2025-11,6.2375,4.5,0.01292
2025-12,6.19,4.4,0.01154
2026-01,6.1025,4.3,0.00954
2026-02,6.0475,4.4,0.00818
2026-03,6.1775,4.3,0.00776
