loan_id,reporting_month,servicer_name,reported_balance,reported_status,reported_dpd,update_received_at,file_batch_id
F20Q40448172,2020-12,"QUICKEN LOANS, LLC",335084.23592725606,Current,120.0,2021-01-23 00:00:00,BATCH-2020-12
F19Q20154837,2019-09,OTHER,119000.0,Current,0.0,2019-10-05 00:00:00,BATCH-2019-09
F20Q30669447,2023-03,OTHER,598540.66,Current,0.0,2023-04-02 00:00:00,BATCH-2023-03
F20Q10360958,2021-01,MATRIX FINANCIAL SERVICES CORPORATION,127163.23048944771,Current,0.0,2021-02-25 00:00:00,BATCH-2021-01-R1
F21Q20487922,2022-03,NEW RESIDENTIAL MORTGAGE LLC,65063.11,Current,0.0,2022-04-05 00:00:00,BATCH-2022-03
F22Q40220174,2024-08,"PENNYMAC LOAN SERVICES, LLC",335654.75,Current,0.0,2024-09-02 00:00:00,BATCH-2024-08
F19Q20086827,2025-03,OTHER,47769.93,Current,0.0,2025-04-12 00:00:00,BATCH-2025-03
F20Q31051269,2023-03,PENNYMAC CORP.,393231.63,Current,0.0,2023-04-03 00:00:00,BATCH-2023-03
F21Q31014958,2024-03,"BANK OF AMERICA, N.A.",169192.8,Current,0.0,2024-04-10 00:00:00,BATCH-2024-03
F22Q10306208,2025-01,TRUIST BANK,148558.21,Current,0.0,2025-02-14 00:00:00,BATCH-2025-01
F20Q20898629,2023-01,"WELLS FARGO BANK, N.A.",464066.2604890824,Current,0.0,2023-02-06 00:00:00,BATCH-2023-01
F21Q40457920,2024-04,OTHER,189545.89,Current,0.0,2024-05-13 00:00:00,BATCH-2024-04
F19Q30406583,2022-07,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",192469.17,Current,0.0,2022-08-09 00:00:00,BATCH-2022-07
F20Q30152674,2022-06,"LOANDEPOT.COM, LLC",288852.88,Current,0.0,2022-07-09 00:00:00,BATCH-2022-06
F22Q20392867,2023-09,OTHER,98224.35,Current,0.0,2023-10-12 00:00:00,BATCH-2023-09
F20Q10110096,2024-08,TRUIST BANK,356169.66713231365,Current,0.0,2024-09-26 00:00:00,BATCH-2024-08
F22Q30132541,2024-12,OTHER,424594.23,Current,0.0,2025-01-13 00:00:00,BATCH-2024-12
F22Q30255174,2023-03,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,187000.0,Current,0.0,2023-04-06 00:00:00,BATCH-2023-03
F22Q20100319,2025-06,"LAKEVIEW LOAN SERVICING, LLC",613441.31,Current,0.0,2025-07-15 00:00:00,BATCH-2025-06
F21Q12455544,2022-12,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",484463.0134781346,DQ30,0.0,2023-01-29 00:00:00,BATCH-2022-12
F19Q40031783,2024-08,U.S. BANK N.A.,332851.46,Current,0.0,2024-09-04 00:00:00,BATCH-2024-08
F19Q10076756,2020-02,QUICKEN LOANS INC.,4372396.723891761,Current,0.0,2020-03-08 00:00:00,BATCH-2020-02
F20Q20069515,2023-12,ONSLOW BAY FINANCIAL LLC,165684.22,Current,0.0,2024-01-03 00:00:00,BATCH-2023-12
F21Q12190111,2024-12,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",269512.06,Current,60.0,2025-01-02 00:00:00,BATCH-2024-12
F19Q20201694,2024-05,OTHER,63246.43580765434,Current,0.0,2024-06-06 00:00:00,BATCH-2024-05
F21Q20922248,2023-05,"PNC BANK, NA",92467.38,Current,0.0,2023-06-05 00:00:00,BATCH-2023-05
F19Q10202553,2019-12,OTHER,105674.98,Current,0.0,2020-01-04 00:00:00,BATCH-2019-12
F20Q30028702,2023-10,PHH MORTGAGE CORPORATION,293759.91,Current,0.0,2023-11-05 00:00:00,BATCH-2023-10
F19Q30236576,2022-09,NEW RESIDENTIAL MORTGAGE LLC,154412.09,Current,0.0,2022-10-12 00:00:00,BATCH-2022-09
F21Q40812708,2024-02,PENNYMAC CORP.,441570.31,Current,0.0,2024-03-13 00:00:00,BATCH-2024-02
F20Q30927420,2023-02,NEW RESIDENTIAL MORTGAGE LLC,,Current,0.0,2023-03-24 00:00:00,BATCH-2023-02
F23Q20040973,2023-07,"UNITED WHOLESALE MORTGAGE, LLC",341781.4554884987,Current,0.0,2023-09-01 00:00:00,BATCH-2023-07-R1
F20Q20552564,2021-07,OTHER,303028.46,Current,0.0,2021-08-16 00:00:00,BATCH-2021-07
F21Q30115465,2023-01,U.S. BANK N.A.,188615.63,Current,0.0,2023-02-10 00:00:00,BATCH-2023-01
