servicer_name,records,mean_anomaly_score,pct_top_decile,mean_exception_probability,actual_exception_rate
"PINGORA LOAN SERVICING, LLC",2266,0.1563064021596968,0.14651368049426303,0.16526767725694907,0.1646072374227714
BRANCH BANKING AND TRUST COMPANY,219,0.15279910338933736,0.1461187214611872,0.1320137484541155,0.136986301369863
"UNITED WHOLESALE MORTGAGE, LLC",23897,0.1518367706388121,0.13541448717412227,0.18263294964613516,0.1850023015441269
TH MSR HOLDINGS LLC,6606,0.14934635857821763,0.13669391462306993,0.17417657634206385,0.1719648804117469
PENNYMAC CORP.,21569,0.14726313808482067,0.13129955028049514,0.18119919945853286,0.1810932356622931
"FIFTH THIRD BANK, NATIONAL ASSOCIATION",9112,0.14570603563597248,0.1332309043020193,0.15821826557083044,0.1609964881474978
"LOANDEPOT.COM, LLC",10657,0.1432315229821383,0.12189171436614432,0.1683921195573642,0.17021675893778737
"UNITED SHORE FINANCIAL SERVICES, LLC",3135,0.143069286250784,0.12535885167464114,0.16850573287855913,0.16842105263157894
"CALIBER HOME LOANS, INC.",9159,0.14079548382113774,0.11737089201877934,0.17780221295014156,0.17807620919314335
"PROVIDENT FUNDING ASSOCIATES, L.P.",686,0.14013399827432194,0.12536443148688048,0.1460368781395171,0.14723032069970846
"CITIZENS BANK, NA",13577,0.1387242926806272,0.1155630846284157,0.15670270826514224,0.15879796715032776
"AMERIHOME MORTGAGE COMPANY, LLC",15063,0.13587171968690115,0.11392152957578172,0.16033047466363773,0.15952997410874328
"CROSSCOUNTRY MORTGAGE, LLC",1519,0.13522880717332172,0.11784068466096116,0.14132534196820706,0.15273206056616195
MATRIX FINANCIAL SERVICES CORPORATION,12060,0.13429221651026563,0.11144278606965174,0.1670158245855743,0.1685737976782753
SPECIALIZED LOAN SERVICING LLC,374,0.13019195726009014,0.12566844919786097,0.1266020204613327,0.13903743315508021
NEW RESIDENTIAL MORTGAGE LLC,28354,0.12976655660999573,0.1055582986527474,0.14491285092188452,0.14565846088735276
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",60672,0.12909874090442897,0.1043150052742616,0.1511618246068553,0.15150316455696203
FREEDOM MORTGAGE CORPORATION,17652,0.12823278193858792,0.1041241785633356,0.14870781294083954,0.14961477452979832
PHH ASSET SERVICES LLC,1514,0.12655886161317645,0.10568031704095113,0.12959954173539337,0.1334214002642008
ONSLOW BAY FINANCIAL LLC,8642,0.12462117667903412,0.0991668595232585,0.15265356913158562,0.15042814163388105
"ROCKET MORTGAGE, LLC",37632,0.12411989172376928,0.0976031037414966,0.1415449028880792,0.1443186649659864
SUNTRUST BANK,289,0.12404406051788221,0.09342560553633218,0.12335871545028758,0.1245674740484429
"PENNYMAC LOAN SERVICES, LLC",9803,0.12388047134012008,0.09517494644496582,0.14574218575142975,0.14679179842905232
"GUARANTEED RATE, INC.",331,0.1226674419858841,0.08761329305135952,0.13837212897616982,0.1419939577039275
"LAKEVIEW LOAN SERVICING, LLC",30384,0.12230877019127862,0.09692601369141654,0.13693309082567026,0.1381977356503423
"PNC BANK, NA",12829,0.12114718404347637,0.09322628419985969,0.12950214736276217,0.12799126977940603
GUILD MORTGAGE COMPANY LLC,1515,0.12090108747659353,0.08646864686468647,0.12784811931556989,0.12871287128712872
NATIONSTAR MORTGAGE LLC DBA MR. COOPER,42385,0.11893297806597679,0.0920844638433408,0.1345150955003744,0.13471747080335025
OTHER,185467,0.11865189496511434,0.09270112742428573,0.12752132223948606,0.12820609596316326
"QUICKEN LOANS, LLC",5387,0.11835339081026902,0.09560051976981622,0.11979681763477065,0.11917579357713012
"CMG MORTGAGE, INC.",2022,0.11677820529333,0.0840751730959446,0.13332155056212644,0.13600395647873392
PHH MORTGAGE CORPORATION,8890,0.11609696631433383,0.08830146231721035,0.13132496449733472,0.1294713160854893
HOME POINT FINANCIAL CORPORATION,3488,0.11457091322130493,0.08342889908256881,0.14428136970927494,0.14478211009174313
"BANK OF AMERICA, N.A.",3531,0.11442109522430786,0.08694420843953554,0.12978102136425557,0.13055791560464458
TRUIST BANK,19350,0.11434523475720071,0.0903875968992248,0.11510372103183349,0.11503875968992248
QUICKEN LOANS INC.,2169,0.11269787521434416,0.0792992162286768,0.12153067958163571,0.12125403411710466
"MARLIN MORTGAGE CAPITAL, LLC",512,0.10948881648030193,0.080078125,0.11681025436619977,0.119140625
FIFTH THIRD BANK,105,0.10914706298881172,0.0761904761904762,0.08973964711439797,0.09523809523809523
U.S. BANK N.A.,20156,0.10768853027740793,0.0820599325262949,0.1128846175022454,0.1136634252827942
"WELLS FARGO BANK, N.A.",34862,0.1073908769499033,0.07790717686879697,0.10584463084483514,0.10547300785956056
NEWREZ LLC,2624,0.1052676502098075,0.06859756097560976,0.12449050911953195,0.12461890243902439
ARVEST CENTRAL MORTGAGE COMPANY,84,0.061609176116558674,0.03571428571428571,0.0620949938930204,0.047619047619047616
