loan_id,reporting_month,servicer_name,current_status,anomaly_score,exception_probability,predicted_exception_type,predicted_type_confidence,dq_score,rules_violated,current_balance,servicer_balance_gap_pct,reporting_lag_days,document_status,actual_exception_required,actual_exception_type,anomaly_driver_1,anomaly_driver_1_zscore,anomaly_driver_2,anomaly_driver_2_zscore,anomaly_driver_3,anomaly_driver_3_zscore,review_priority
LN-D79DAE9144,2025-12,PHH ASSET SERVICES LLC,Current,1.0,1.0,invalid_date_relationship,0.982,65.0,loan_age_inconsistent_with_dates; remaining_term_inconsistent; document_file_incomplete; servicer_balance_break,170194.0,2.57,8.0,missing,1,invalid_date_relationship,loan age required repair,9.43,document file incomplete,3.4,balance against expected amortisation for term elapsed,2.66,1.0
LN-5C6F525328,2025-11,"CROSSCOUNTRY MORTGAGE, LLC",DQ90plus,1.0,1.0,invalid_date_relationship,0.956,62.0,last_updated_before_period_end; loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; servicer_record_absent,341247.0,0.0,-67.0,complete,1,invalid_date_relationship,servicer reporting lag,12.82,loan age required repair,9.43,balance against expected amortisation for term elapsed,5.48,1.0
LN-F13353D5BD,2025-12,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,Current,1.0,1.0,invalid_date_relationship,0.949,53.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; document_file_incomplete; servicer_balance_break,851352.0,8.26,7.0,exception,1,invalid_date_relationship,loan age required repair,9.43,servicer feed balance gap,7.68,balance against expected amortisation for term elapsed,6.64,1.0
LN-5EB1F1E8EC,2026-02,OTHER,DQ30,1.0,1.0,invalid_date_relationship,0.999,77.0,last_updated_before_period_end; loan_age_inconsistent_with_dates; remaining_term_inconsistent,338666.0,0.0,-64.0,complete,1,invalid_date_relationship,servicer reporting lag,12.31,loan age required repair,9.43,month-over-month change in days past due,8.7,1.0
LN-538B437889,2026-01,ONSLOW BAY FINANCIAL LLC,DQ90plus,1.0,1.0,invalid_date_relationship,0.978,56.0,loan_age_inconsistent_with_dates; remaining_term_inconsistent; missing_critical_field; document_file_incomplete; servicer_balance_break,492783.0,6.48,4.0,exception,1,balance_reconciliation_break,loan age required repair,9.43,servicer feed balance gap,6.02,document file incomplete,3.4,1.0
LN-DAD07313C8,2026-03,PENNYMAC CORP.,Current,1.0,1.0,invalid_date_relationship,0.917,65.0,loan_age_inconsistent_with_dates; remaining_term_inconsistent; document_file_incomplete; servicer_balance_break,332599.0,7.33,7.0,exception,1,invalid_date_relationship,loan age required repair,9.43,servicer feed balance gap,6.82,document file incomplete,3.4,1.0
LN-806B31FFFD,2026-02,OTHER,Current,1.0,1.0,invalid_date_relationship,0.988,45.0,last_updated_before_period_end; loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; document_file_incomplete; servicer_balance_break,134485.0,2.8,-27.0,missing,1,invalid_date_relationship,loan age required repair,9.43,servicer reporting lag,6.07,month-over-month change in days past due,5.8,1.0
LN-1C4269B1E2,2025-10,OTHER,Current,1.0,1.0,balance_reconciliation_break,0.894,74.0,document_file_incomplete; stale_servicer_reporting; servicer_balance_break,124888.0,8.41,135.0,missing,0,none,servicer reporting lag,21.25,month-over-month balance movement,18.92,servicer feed balance gap,7.82,1.0
LN-72F6856AAE,2025-12,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Current,1.0,1.0,balance_reconciliation_break,0.91,74.0,document_file_incomplete; stale_servicer_reporting; servicer_balance_break,162000.0,3.64,103.0,missing,1,balance_reconciliation_break,balance against expected amortisation for term elapsed,20.68,servicer reporting lag,15.85,month-over-month balance movement,15.17,1.0
LN-F61C164687,2026-01,PENNYMAC CORP.,Current,1.0,1.0,invalid_date_relationship,1.0,66.0,origination_after_reporting; last_updated_before_period_end; loan_age_inconsistent_with_dates; servicer_record_absent,81120.0,0.0,-29.0,complete,1,invalid_date_relationship,month-over-month change in days past due,11.61,loan age required repair,9.43,servicer reporting lag,6.41,1.0
LN-A7F6F25616,2025-12,TH MSR HOLDINGS LLC,DQ30,0.9854,1.0,invalid_date_relationship,0.998,77.0,last_updated_before_period_end; loan_age_inconsistent_with_dates; remaining_term_inconsistent,470365.0,0.0,-59.0,complete,0,none,servicer reporting lag,11.47,loan age required repair,9.43,month-over-month change in days past due,2.9,0.9942
LN-74CE67155C,2026-03,OTHER,Current,1.0,0.9646,balance_reconciliation_break,0.966,80.0,document_file_incomplete; servicer_balance_break,223192.0,4.17,4.0,missing,1,balance_reconciliation_break,servicer feed balance gap,3.88,record arrived by manual upload,3.68,document file incomplete,3.4,0.9788
LN-BB849D45D7,2025-10,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Current,1.0,0.9512,balance_reconciliation_break,0.921,74.0,document_file_incomplete; stale_servicer_reporting; servicer_balance_break,80737.0,7.51,168.0,missing,1,balance_reconciliation_break,servicer reporting lag,26.81,servicer feed balance gap,6.98,document file incomplete,3.4,0.9707
