target,fold,train_window,test_window,roc_auc,pr_auc,brier
next_3m_delinquency_flag,0,2019-01..2023-09,2025-07..2025-12,0.9171387775751482,0.6439495139021749,0.015393134166452787
next_3m_delinquency_flag,1,2019-01..2024-03,2025-07..2025-12,0.9128630691709386,0.6432770259157776,0.015338999420664202
next_3m_delinquency_flag,2,2019-01..2024-09,2025-07..2025-12,0.9160900713271727,0.6497284766398792,0.015094477853825719
next_6m_delinquency_flag,0,2019-01..2023-03,2025-04..2025-09,0.8769694736658129,0.5766176600473003,0.022954118987413057
next_6m_delinquency_flag,1,2019-01..2023-09,2025-04..2025-09,0.8740497022146019,0.5733982805378154,0.022830010527787357
next_6m_delinquency_flag,2,2019-01..2024-03,2025-04..2025-09,0.8784427353039449,0.5780112539254783,0.02264170573723829
next_12m_default_flag,0,2019-01..2022-03,2024-10..2025-03,0.8988739994057973,0.543837259347882,0.008876718597264466
next_12m_default_flag,1,2019-01..2022-09,2024-10..2025-03,0.9191051121354179,0.5349784833216129,0.008930839890081496
next_12m_default_flag,2,2019-01..2023-03,2024-10..2025-03,0.9207157053692625,0.5320619454073242,0.009132916382375096
next_12m_prepayment_flag,0,2019-01..2022-03,2024-10..2025-03,0.5875399351865389,0.18129762034939978,0.09328445380301131
next_12m_prepayment_flag,1,2019-01..2022-09,2024-10..2025-03,0.592291249218589,0.17800122463349113,0.10729961881916592
next_12m_prepayment_flag,2,2019-01..2023-03,2024-10..2025-03,0.6258971326149917,0.2009259303987099,0.13667480958658618
