target,train_window,test_window,column,psi,ks_statistic,severity
exception_required,2019-01..2025-03,2025-10..2026-03,remaining_term_months,3.8332410367460836,0.49448988894106155,severe
exception_required,2019-01..2025-03,2025-10..2026-03,loan_age_months,3.4033643687323774,0.6113700031260129,severe
exception_required,2019-01..2025-03,2025-10..2026-03,servicer_name,1.2548575197639695,,severe
exception_required,2019-01..2025-03,2025-10..2026-03,interest_rate,0.13080696833973626,0.14850253086813137,moderate
exception_required,2019-01..2025-03,2025-10..2026-03,loan_purpose,0.017407823844782302,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,original_balance,0.0066379071249240106,0.029846450831905402,stable
exception_required,2019-01..2025-03,2025-10..2026-03,current_balance,0.004495823785390267,0.02685104450026149,stable
exception_required,2019-01..2025-03,2025-10..2026-03,dti_band,0.004316208439511707,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,state,0.0031839146160552996,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,current_status,0.0029615672453441287,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,ltv_band,0.0022586027462679144,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,occupancy_type,0.0006239072484684849,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,property_type,0.000511288083735363,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,reporting_lag_days,0.0001972057799745325,0.005171268204103074,stable
exception_required,2019-01..2025-03,2025-10..2026-03,document_status,9.323305281845392e-05,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,credit_score_band,9.195957184092917e-05,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,source_system,3.2483174387217436e-05,,stable
exception_required,2019-01..2025-03,2025-10..2026-03,days_past_due,1.169207273817662e-06,0.0071695798541926425,stable
exception_required,2019-01..2025-03,2025-10..2026-03,loss_severity_band,,,stable
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,loan_age_months,3.1199264690417143,0.5691001208151987,severe
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,remaining_term_months,2.6855009043060285,0.4162824393899439,severe
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,servicer_name,1.6269819241370764,,severe
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,interest_rate,0.570461605028165,0.31407806935165317,severe
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,loan_purpose,0.08009416511799657,,stable
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,original_balance,0.02320538116996912,0.059338467775217785,stable
next_12m_default_flag,2019-01..2023-03,2024-10..2025-03,dti_band,0.018190393763697382,,stable
