column,psi,ks_statistic,train_missing_pct,test_missing_pct,severity
loan_age_months,2.2741996436958276,0.5271255070057879,0.0,0.0,severe
remaining_term_months,1.6142235492103563,0.4036964141985278,0.0,0.0,severe
servicer_name,1.1434106787838505,,0.0,0.0,severe
interest_rate,0.2350906141343394,0.1977736302608245,0.01374194332968503,0.014305859097086428,moderate
loan_purpose,0.03230415689116102,,0.0,0.0,stable
original_balance,0.009724418912758291,0.03784426513282657,0.0,0.0,stable
dti_band,0.007332735223460209,,0.062369928800717726,0.06254872640363994,stable
state,0.004753914077612121,,0.0,0.0,stable
ltv_band,0.003708147444461713,,0.031492431491054775,0.031393649698162565,stable
current_status,0.002191571628479521,,0.0,0.0,stable
current_balance,0.0018756802113616491,0.01343653378855747,0.0,0.0,stable
occupancy_type,0.0008979062058345209,,0.022318898441784318,0.02208504275142824,stable
property_type,0.0007046132623130591,,0.04130384402699286,0.04104307520587571,stable
reporting_lag_days,7.647066990627714e-05,0.0030310384337448038,0.0,0.0,stable
document_status,7.607133207970962e-05,,0.0,0.0,stable
credit_score_band,7.279735377639544e-05,,0.019014774482067096,0.019230687303230534,stable
days_past_due,1.2168775871608027e-05,0.004956886344438471,0.022509344475573574,0.0318920968435941,stable
source_system,5.968692228383589e-06,,0.0,0.0,stable
loss_severity_band,,,0.9999908218778897,0.9999701783759144,stable
