learning_rate,num_leaves,min_child_samples,n_estimators,valid_pr_auc,best_iteration,target
0.03,12,250,2000,0.7848939493638493,122,next_3m_delinquency_flag
0.03,24,150,2000,0.7925898984441596,320,next_3m_delinquency_flag
0.045,24,80,1400,0.7902276203609069,223,next_3m_delinquency_flag
0.045,48,80,1400,0.799148387229075,167,next_3m_delinquency_flag
0.06,64,40,1000,0.796764330274202,82,next_3m_delinquency_flag
0.03,12,250,2000,0.785639901323163,1872,next_6m_delinquency_flag
0.03,24,150,2000,0.7901407261486482,895,next_6m_delinquency_flag
0.045,24,80,1400,0.7952386626817888,628,next_6m_delinquency_flag
0.045,48,80,1400,0.7970557023953936,324,next_6m_delinquency_flag
0.06,64,40,1000,0.7994479456206351,150,next_6m_delinquency_flag
0.03,12,250,2000,0.7523060644520096,1245,next_12m_default_flag
0.03,24,150,2000,0.7478329062628608,551,next_12m_default_flag
0.045,24,80,1400,0.754362159059696,396,next_12m_default_flag
0.045,48,80,1400,0.761327616484785,238,next_12m_default_flag
0.06,64,40,1000,0.7506741474063054,115,next_12m_default_flag
0.03,12,250,2000,0.5745736567717311,1997,next_12m_prepayment_flag
0.03,24,150,2000,0.7100906534749001,1999,next_12m_prepayment_flag
0.045,24,80,1400,0.7121029964566101,1388,next_12m_prepayment_flag
0.045,48,80,1400,0.7363161273725168,823,next_12m_prepayment_flag
0.06,64,40,1000,0.7385091100195161,489,next_12m_prepayment_flag
