group,loan_age_months,survival,cumulative_event_prob,n_loans,events
620-659,0,1.0,0.0,614,59
620-659,1,1.0,0.0,614,59
620-659,2,1.0,0.0,614,59
620-659,3,0.9983660130718958,0.0016339869281042363,614,59
620-659,4,0.9967320261437912,0.0032679738562088056,614,59
620-659,5,0.9934586861564552,0.006541313843544838,614,59
620-659,6,0.9918056766952963,0.00819432330470371,614,59
620-659,7,0.9918056766952963,0.00819432330470371,614,59
620-659,8,0.9884148880570214,0.011585111942978621,614,59
620-659,9,0.9884148880570214,0.011585111942978621,614,59
620-659,10,0.9849588919449344,0.015041108055065644,614,59
620-659,11,0.9779485083723726,0.02205149162762743,614,59
620-659,12,0.9725947756623045,0.027405224337695544,614,59
620-659,13,0.9671713847199492,0.032828615280050766,614,59
620-659,14,0.9635078567475256,0.03649214325247441,614,59
620-659,15,0.961647802970021,0.03835219702997905,614,59
620-659,16,0.9578543205125456,0.0421456794874544,614,59
620-659,17,0.9540152250395495,0.0459847749604505,614,59
620-659,18,0.9462273456514717,0.05377265434852829,614,59
620-659,19,0.9422765007844516,0.057723499215548424,614,59
620-659,20,0.9302984096727849,0.06970159032721512,614,59
620-659,21,0.9262536339785554,0.07374636602144458,614,59
620-659,22,0.9242089239697729,0.07579107603022706,614,59
620-659,23,0.9242089239697729,0.07579107603022706,614,59
620-659,24,0.9242089239697729,0.07579107603022706,614,59
620-659,25,0.9220188554295597,0.07798114457044025,614,59
620-659,26,0.9197755005501698,0.08022449944983023,614,59
620-659,27,0.917441044965017,0.082558955034983,614,59
620-659,28,0.9103290988800167,0.08967090111998333,614,59
620-659,29,0.9078885382932064,0.09211146170679363,614,59
620-659,30,0.9028165352859817,0.09718346471401829,614,59
620-659,31,0.9028165352859817,0.09718346471401829,614,59
620-659,32,0.9001533596656695,0.09984664033433055,614,59
620-659,33,0.9001533596656695,0.09984664033433055,614,59
620-659,34,0.8974005970978846,0.10259940290211544,614,59
620-659,35,0.8974005970978846,0.10259940290211544,614,59
620-659,36,0.8974005970978846,0.10259940290211544,614,59
620-659,37,0.8974005970978846,0.10259940290211544,614,59
620-659,38,0.8974005970978846,0.10259940290211544,614,59
620-659,39,0.8974005970978846,0.10259940290211544,614,59
620-659,40,0.8939357299276227,0.10606427007237729,614,59
620-659,41,0.8902109977195913,0.10978900228040867,614,59
620-659,42,0.8902109977195913,0.10978900228040867,614,59
620-659,43,0.8902109977195913,0.10978900228040867,614,59
620-659,44,0.8858257218687563,0.1141742781312437,614,59
620-659,45,0.8813062028796304,0.11869379712036965,614,59
620-659,46,0.8813062028796304,0.11869379712036965,614,59
620-659,47,0.8813062028796304,0.11869379712036965,614,59
620-659,48,0.8813062028796304,0.11869379712036965,614,59
620-659,49,0.8813062028796304,0.11869379712036965,614,59
620-659,50,0.8813062028796304,0.11869379712036965,614,59
620-659,51,0.8813062028796304,0.11869379712036965,614,59
620-659,52,0.8813062028796304,0.11869379712036965,614,59
620-659,53,0.8813062028796304,0.11869379712036965,614,59
620-659,54,0.8813062028796304,0.11869379712036965,614,59
620-659,55,0.8813062028796304,0.11869379712036965,614,59
620-659,56,0.8813062028796304,0.11869379712036965,614,59
620-659,57,0.871403885993343,0.12859611400665705,614,59
620-659,58,0.871403885993343,0.12859611400665705,614,59
620-659,59,0.871403885993343,0.12859611400665705,614,59
620-659,60,0.871403885993343,0.12859611400665705,614,59
620-659,61,0.871403885993343,0.12859611400665705,614,59
620-659,62,0.871403885993343,0.12859611400665705,614,59
620-659,63,0.8583978578441885,0.14160214215581146,614,59
620-659,64,0.8583978578441885,0.14160214215581146,614,59
620-659,65,0.8583978578441885,0.14160214215581146,614,59
620-659,66,0.8583978578441885,0.14160214215581146,614,59
620-659,67,0.8422016718471285,0.15779832815287154,614,59
620-659,68,0.8422016718471285,0.15779832815287154,614,59
620-659,69,0.8422016718471285,0.15779832815287154,614,59
620-659,70,0.8422016718471285,0.15779832815287154,614,59
620-659,71,0.8422016718471285,0.15779832815287154,614,59
620-659,72,0.8422016718471285,0.15779832815287154,614,59
620-659,73,0.8422016718471285,0.15779832815287154,614,59
620-659,74,0.8422016718471285,0.15779832815287154,614,59
620-659,75,0.8422016718471285,0.15779832815287154,614,59
620-659,76,0.8422016718471285,0.15779832815287154,614,59
620-659,77,0.8422016718471285,0.15779832815287154,614,59
620-659,78,0.8422016718471285,0.15779832815287154,614,59
620-659,79,0.8422016718471285,0.15779832815287154,614,59
620-659,80,0.8422016718471285,0.15779832815287154,614,59
620-659,81,0.8422016718471285,0.15779832815287154,614,59
620-659,82,0.8422016718471285,0.15779832815287154,614,59
620-659,83,0.8422016718471285,0.15779832815287154,614,59
620-659,84,0.8422016718471285,0.15779832815287154,614,59
620-659,85,0.8422016718471285,0.15779832815287154,614,59
620-659,86,0.8422016718471285,0.15779832815287154,614,59
620-659,87,0.8422016718471285,0.15779832815287154,614,59
620-659,88,0.8422016718471285,0.15779832815287154,614,59
620-659,89,0.8422016718471285,0.15779832815287154,614,59
620-659,90,0.8422016718471285,0.15779832815287154,614,59
620-659,91,0.8422016718471285,0.15779832815287154,614,59
620-659,92,0.8422016718471285,0.15779832815287154,614,59
620-659,93,0.8422016718471285,0.15779832815287154,614,59
620-659,94,0.8422016718471285,0.15779832815287154,614,59
620-659,95,0.8422016718471285,0.15779832815287154,614,59
620-659,96,0.8422016718471285,0.15779832815287154,614,59
620-659,97,0.8422016718471285,0.15779832815287154,614,59
620-659,98,0.8422016718471285,0.15779832815287154,614,59
620-659,99,0.8422016718471285,0.15779832815287154,614,59
620-659,100,0.8422016718471285,0.15779832815287154,614,59
620-659,101,0.8422016718471285,0.15779832815287154,614,59
620-659,102,0.8422016718471285,0.15779832815287154,614,59
620-659,103,0.8422016718471285,0.15779832815287154,614,59
620-659,104,0.8422016718471285,0.15779832815287154,614,59
620-659,105,0.8422016718471285,0.15779832815287154,614,59
620-659,106,0.8422016718471285,0.15779832815287154,614,59
620-659,107,0.8422016718471285,0.15779832815287154,614,59
620-659,108,0.8422016718471285,0.15779832815287154,614,59
620-659,109,0.8422016718471285,0.15779832815287154,614,59
620-659,110,0.8422016718471285,0.15779832815287154,614,59
620-659,111,0.8422016718471285,0.15779832815287154,614,59
620-659,112,0.8422016718471285,0.15779832815287154,614,59
620-659,113,0.8422016718471285,0.15779832815287154,614,59
620-659,114,0.8422016718471285,0.15779832815287154,614,59
620-659,115,0.8422016718471285,0.15779832815287154,614,59
620-659,116,0.8422016718471285,0.15779832815287154,614,59
620-659,117,0.8422016718471285,0.15779832815287154,614,59
620-659,118,0.8422016718471285,0.15779832815287154,614,59
620-659,119,0.8422016718471285,0.15779832815287154,614,59
620-659,120,0.8422016718471285,0.15779832815287154,614,59
660-699,0,1.0,0.0,1791,121
660-699,1,1.0,0.0,1791,121
660-699,2,1.0,0.0,1791,121
660-699,3,0.9971894322653176,0.0028105677346823565,1791,121
660-699,4,0.996065205171445,0.003934794828554966,1791,121
660-699,5,0.9932450885090117,0.00675491149098828,1791,121
660-699,6,0.9915443263711535,0.008455673628846472,1791,121
660-699,7,0.990969518066011,0.009030481933989032,1791,121
660-699,8,0.9892238289560881,0.01077617104391193,1791,121
660-699,9,0.9856929884006228,0.014307011599377195,1791,121
660-699,10,0.9815314377861449,0.018468562213855066,1791,121
660-699,11,0.98033444822787,0.01966555177213003,1791,121
660-699,12,0.9791189064445738,0.020881093555426222,1791,121
660-699,13,0.9747974484716155,0.025202551528384465,1791,121
660-699,14,0.9729216355496044,0.027078364450395576,1791,121
660-699,15,0.9703797109629299,0.029620289037070147,1791,121
660-699,16,0.9671707833473123,0.032829216652687676,1791,121
660-699,17,0.965222151816055,0.034777848183945026,1791,121
660-699,18,0.9632455876826433,0.036754412317356655,1791,121
660-699,19,0.9592404085238796,0.040759591476120405,1791,121
660-699,20,0.9572124161168523,0.04278758388314774,1791,121
660-699,21,0.9558449698081142,0.044155030191885825,1791,121
660-699,22,0.9544576766734142,0.04554232332658581,1791,121
660-699,23,0.950938289960017,0.04906171003998305,1791,121
660-699,24,0.9495147296457056,0.0504852703542944,1791,121
660-699,25,0.9480706007793238,0.05192939922067619,1791,121
660-699,26,0.9466029992301298,0.053397000769870195,1791,121
660-699,27,0.9443509698901683,0.05564903010983169,1791,121
660-699,28,0.9412774109971166,0.05872258900288341,1791,121
660-699,29,0.9412774109971166,0.05872258900288341,1791,121
660-699,30,0.9396628699833992,0.06033713001660079,1791,121
660-699,31,0.9379982767681944,0.06200172323180564,1791,121
660-699,32,0.9371424389244276,0.06285756107557239,1791,121
660-699,33,0.936264964730678,0.063735035269322,1791,121
660-699,34,0.9308582373116366,0.06914176268836336,1791,121
660-699,35,0.9289965208370138,0.07100347916298622,1791,121
660-699,36,0.9289965208370138,0.07100347916298622,1791,121
660-699,37,0.9270157180207298,0.0729842819792702,1791,121
660-699,38,0.9270157180207298,0.0729842819792702,1791,121
