group,loan_age_months,survival,cumulative_event_prob,n_loans,events
all,0,1.0,0.0,16000,5437
all,1,0.9969087643428256,0.003091235657174396,16000,5437
all,2,0.9941844505921588,0.005815549407841236,16000,5437
all,3,0.9909225671022976,0.009077432897702353,16000,5437
all,4,0.9862226877288279,0.01377731227117207,16000,5437
all,5,0.9792655400746881,0.020734459925311866,16000,5437
all,6,0.9682780764911096,0.03172192350889036,16000,5437
all,7,0.9584092334627321,0.0415907665372679,16000,5437
all,8,0.9479623273786294,0.0520376726213706,16000,5437
all,9,0.9368090880841589,0.06319091191584114,16000,5437
all,10,0.9243788738757266,0.07562112612427341,16000,5437
all,11,0.9106623656952669,0.08933763430473307,16000,5437
all,12,0.8981901405811151,0.10180985941888487,16000,5437
all,13,0.8858922446623667,0.11410775533763329,16000,5437
all,14,0.8731286907108845,0.1268713092891155,16000,5437
all,15,0.8602838873081027,0.13971611269189732,16000,5437
all,16,0.8484416135485333,0.1515583864514667,16000,5437
all,17,0.8364540122147649,0.1635459877852351,16000,5437
all,18,0.827001111038239,0.17299888896176097,16000,5437
all,19,0.8190719269534377,0.18092807304656233,16000,5437
all,20,0.8097271976156866,0.19027280238431343,16000,5437
all,21,0.7996648919305782,0.20033510806942179,16000,5437
all,22,0.7891463611095467,0.21085363889045328,16000,5437
all,23,0.7790002853462379,0.2209997146537621,16000,5437
all,24,0.7706474284429865,0.2293525715570135,16000,5437
all,25,0.7602941043459142,0.23970589565408584,16000,5437
all,26,0.7538569347214464,0.24614306527855356,16000,5437
all,27,0.7462178162940765,0.25378218370592354,16000,5437
all,28,0.7399882892308755,0.26001171076912455,16000,5437
all,29,0.7347281883869845,0.2652718116130155,16000,5437
all,30,0.7291802268637873,0.27081977313621275,16000,5437
all,31,0.7237975332132738,0.2762024667867262,16000,5437
all,32,0.7180854090486233,0.2819145909513767,16000,5437
all,33,0.7136343156686861,0.28636568433131393,16000,5437
all,34,0.7076643538101173,0.2923356461898827,16000,5437
all,35,0.7042390665215884,0.2957609334784116,16000,5437
all,36,0.6997604737745462,0.3002395262254538,16000,5437
all,37,0.6952598895858045,0.30474011041419546,16000,5437
all,38,0.6927212492351372,0.3072787507648628,16000,5437
all,39,0.6901236492924385,0.3098763507075615,16000,5437
all,40,0.687559087236354,0.31244091276364605,16000,5437
all,41,0.6840363046707777,0.3159636953292223,16000,5437
all,42,0.681048455821785,0.31895154417821503,16000,5437
all,43,0.6788096990843904,0.32119030091560963,16000,5437
all,44,0.6745779582570021,0.32542204174299794,16000,5437
all,45,0.6716071216821768,0.32839287831782316,16000,5437
all,46,0.6679343499397254,0.33206565006027455,16000,5437
all,47,0.6655012663083333,0.3344987336916667,16000,5437
all,48,0.6634243076914047,0.3365756923085953,16000,5437
