start_state,horizon_month,p_Current,p_DQ30,p_DQ60,p_DQ90plus,p_Default,p_Prepaid
Current,1,0.9823651752485429,0.0047624927409848335,1.2540491317156742e-05,1.639910403012805e-05,4.823265891214132e-06,0.012838569149233776
DQ30,1,0.5040485829959515,0.2455621301775148,0.2486764247897851,0.0014014325755216444,0.00015571473061351605,0.00015571473061351605
DQ60,1,0.1772082878953108,0.04634678298800436,0.11177753544165758,0.663576881134133,0.0005452562704471102,0.0005452562704471102
DQ90plus,1,0.12060750446694461,0.005062537224538415,0.016974389517569983,0.6435378201310303,0.21351995235259083,0.0002977963073257892
Default,1,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,1,0.0,0.0,0.0,0.0,0.0,1.0
Current,2,0.9674460653927306,0.005848659111052907,0.0011983191198580996,4.165924494815649e-05,1.381143830058159e-05,0.02545148569310971
DQ30,2,0.6631715650845785,0.07423373459348685,0.08889205996105108,0.1662702059519983,0.0006312097285806178,0.006801224680304768
DQ60,2,0.2972845384216154,0.020764879782286246,0.03528560445759667,0.5012776658722412,0.14230117931410113,0.003086132152159361
DQ90plus,2,0.20165586999693005,0.005862202306629057,0.014081463188818645,0.4254138110538172,0.35093874247006274,0.0020479109837422942
Default,2,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,2,0.0,0.0,0.0,0.0,0.0,1.0
Current,3,0.9535507084075492,0.006099413191396236,0.001601208184674827,0.0008460479139123428,2.893688129778213e-05,0.03787368542116976
DQ30,3,0.7246999038467676,0.026348953881886922,0.031226966838529973,0.16610279079097665,0.036196443072968036,0.015424941568870903
DQ60,3,0.3692192357947229,0.010687994664162934,0.01762048441943448,0.34603982350972357,0.24935786962368273,0.007074591988273503
DQ90plus,3,0.25485798893504813,0.0052062232758431845,0.01025545136033368,0.2831255325007161,0.44178264261364114,0.0047721613144177475
Default,3,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,3,0.0,0.0,0.0,0.0,0.0,1.0
Current,4,0.9401951964379109,0.006117557220375657,0.001722078511584561,0.0016311738570816902,0.00021600705745674362,0.0501179869155905
DQ30,4,0.7507680213245371,0.012209854291565882,0.01287141860452103,0.1276637318767112,0.07168732808834874,0.024799645814316176
DQ60,4,0.4129528832776994,0.006951462922583818,0.01050587156641468,0.23440329316364197,0.32325732905195215,0.011929160017708107
DQ90plus,4,0.2889522173315636,0.0044008513262245265,0.007250073184227862,0.1890187440508287,0.5022432246056565,0.00813488950149878
Default,4,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,4,0.0,0.0,0.0,0.0,0.0,1.0
Current,5,0.927200463357807,0.006067983858098529,0.0017532606399902578,0.002216445258832733,0.0005707216010029075,0.062191125284268525
DQ30,5,0.7613608447600099,0.007816656320376484,0.006651467273676609,0.09072703874552175,0.09895862266548303,0.034485370234932484
DQ60,5,0.4393069303267984,0.0053472898988822905,0.006887016812415261,0.15783535186558187,0.37331591165862443,0.01730749943769791
DQ90plus,5,0.3101566905658752,0.0037497472602046576,0.00511688467655469,0.12646259751583994,0.5426085299477537,0.011905550033771814
Default,5,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,5,0.0,0.0,0.0,0.0,0.0,1.0
Current,6,0.9144860165900416,0.0059983313452888105,0.0017541900393668436,0.0026134987047108102,0.001050349872259744,0.07409761344833231
DQ30,6,0.763995411090431,0.006313033394543057,0.0042368867009892,0.06282348080216539,0.1183391718240838,0.0442920161877878
DQ60,6,0.4545116878579892,0.004523526382799325,0.004784226567160051,0.10615778152219821,0.40702361520355845,0.022999162466294933
DQ90plus,6,0.3227362791430363,0.0032752876633456995,0.0036549414077399972,0.08478925201803733,0.5696156876162467,0.01592855215159389
Default,6,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,6,0.0,0.0,0.0,0.0,0.0,1.0
Current,7,0.9020087309349731,0.005922728037955023,0.0017435532819157881,0.002869328222850696,0.001614685312043048,0.08584097421026245
DQ30,7,0.7620323561216242,0.005703176806321227,0.003119462439320259,0.04326216208210473,0.13176021662592868,0.0541226259247011
DQ60,7,0.4624277606665285,0.004034576619694985,0.0034673267567424727,0.07150504245649791,0.4296959248959833,0.028869368604552997
DQ90plus,7,0.32956969152576265,0.0029399593230669497,0.0026663202311836345,0.05700030771494599,0.5877239442002937,0.02009977700474693
Default,7,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,7,0.0,0.0,0.0,0.0,0.0,1.0
Current,8,0.8897423423240496,0.005845541913367653,0.0017277496498113484,0.0030265953177016727,0.0022335677047763194,0.09742420309029372
DQ30,8,0.757239263258874,0.005393251164433117,0.002510836492209255,0.02993132990241491,0.14100381587213653,0.0639215033099326
DQ60,8,0.4655450345407285,0.0037157444624223764,0.0026104268432102203,0.048330274614000406,0.44496842739097714,0.03483009214866155
DQ90plus,8,0.33258682901366793,0.0027036574822958716,0.0020008116692574428,0.03846068703921053,0.599898148412723,0.024349866382845104
Default,8,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,8,0.0,0.0,0.0,0.0,0.0,1.0
Current,9,0.8776695308271446,0.005768233060490521,0.0017093044756443503,0.003117006387265675,0.002885949960008908,0.10884997528944629
DQ30,9,0.7506588262044317,0.0051986224048133495,0.002139391737509089,0.020948052170884485,0.14740061323105344,0.07365449425130843
DQ60,9,0.46549972825670877,0.0034952596737033628,0.002042020197584994,0.03284742036125825,0.4552921527189849,0.040823418791760005
DQ90plus,9,0.3330777011864201,0.002535298093599975,0.0015529991589843565,0.026087842184854736,0.6081133885858966,0.028632770790244132
Default,9,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,9,0.0,0.0,0.0,0.0,0.0,1.0
