column,n,missing,missing_pct,distinct,mode,mode_share,normalised_entropy,top_values
credit_score_band,53756,1018,0.018937420939057967,7,740-779,0.22238234290265085,0.9323650051011404,740-779=0.222; 700-739=0.214; 660-699=0.171; 780+=0.162; 620-659=0.138
ltv_band,53756,1584,0.029466478160577424,6,60-70,0.2233765238058729,0.9613581103050721,60-70=0.223; 70-80=0.214; 80-90=0.191; <=60=0.191; 90-95=0.118
dti_band,53756,3376,0.06280229183719027,5,20-30,0.27983326716951173,0.9685397444182101,20-30=0.280; 30-36=0.218; <=20=0.214; 36-43=0.194; >43=0.094
state,53756,0,0.0,15,CA,0.1632747972319369,0.9328854480043023,CA=0.163; TX=0.139; FL=0.117; NY=0.105; NC=0.062
loan_purpose,53756,0,0.0,3,purchase,0.5722523997321229,0.883379361274836,purchase=0.572; rate_term_refi=0.257; cash_out_refi=0.171
occupancy_type,53756,1152,0.021430165934965398,3,primary,0.8244430081362634,0.5303702023446205,primary=0.824; investment=0.106; second_home=0.070
property_type,53756,2245,0.04176277996874767,5,single_family,0.6882025198501291,0.6290746483976913,single_family=0.688; condo=0.134; pud=0.096; 2-4_unit=0.046; manufactured=0.036
servicer_name,53756,0,0.0,5,Northgate Servicing,0.32013170622814197,0.9559924563424981,Northgate Servicing=0.320; Belmont Loan Services=0.241; Arcadia Capital Servicing=0.192; Pioneer Mortgage Ops=0.140; Kestrel Financial=0.107
current_status,53756,0,0.0,4,Current,0.9566001934667758,0.16258162560049771,Current=0.957; DQ90plus=0.018; DQ30=0.014; DQ60=0.011
document_status,53756,0,0.0,4,complete,0.8859476151499367,0.3423239846636369,complete=0.886; missing=0.051; pending=0.040; exception=0.023
source_system,53756,0,0.0,3,core_servicing,0.7185058412084232,0.6952010559596509,core_servicing=0.719; investor_feed=0.200; manual_upload=0.082
loss_severity_band,53756,53494,0.9951261254557631,5,0-10,0.24427480916030533,0.9894004390184997,0-10=0.244; 25-40=0.233; 40-60=0.202; 10-25=0.176; 60+=0.145
