loan_id,reporting_month,servicer_name,dq_score,dq_band,dq_violation_count
LN100000,2021-03,Northgate Servicing,88.0,watch,2
LN100001,2019-01,Belmont Loan Services,100.0,clean,0
LN100001,2019-02,Belmont Loan Services,97.0,clean,1
LN100001,2019-03,Belmont Loan Services,97.0,clean,1
LN100001,2019-04,Belmont Loan Services,97.0,clean,1
LN100001,2019-05,Belmont Loan Services,97.0,clean,1
LN100001,2019-06,Belmont Loan Services,88.0,watch,2
LN100001,2019-07,Belmont Loan Services,97.0,clean,1
LN100001,2019-08,Belmont Loan Services,89.0,watch,1
LN100001,2019-09,Belmont Loan Services,100.0,clean,0
LN100001,2019-10,Belmont Loan Services,88.0,watch,2
LN100001,2019-11,Belmont Loan Services,88.0,watch,2
LN100001,2019-12,Belmont Loan Services,100.0,clean,0
LN100001,2020-01,Belmont Loan Services,97.0,clean,1
LN100001,2020-02,Belmont Loan Services,97.0,clean,1
LN100001,2020-03,Belmont Loan Services,97.0,clean,1
LN100001,2020-04,Belmont Loan Services,100.0,clean,0
LN100001,2020-05,Belmont Loan Services,97.0,clean,1
LN100001,2020-06,Belmont Loan Services,100.0,clean,0
LN100001,2020-07,Belmont Loan Services,97.0,clean,1
LN100001,2020-08,Belmont Loan Services,97.0,clean,1
LN100001,2020-09,Belmont Loan Services,97.0,clean,1
LN100001,2020-10,Belmont Loan Services,90.0,watch,2
LN100001,2020-11,Belmont Loan Services,97.0,clean,1
LN100001,2020-12,Belmont Loan Services,97.0,clean,1
LN100001,2021-01,Belmont Loan Services,97.0,clean,1
LN100001,2021-02,Belmont Loan Services,97.0,clean,1
LN100001,2021-03,Belmont Loan Services,93.0,clean,1
LN100001,2021-04,Belmont Loan Services,88.0,watch,2
LN100001,2021-05,Belmont Loan Services,97.0,clean,1
LN100001,2021-06,Belmont Loan Services,100.0,clean,0
LN100001,2021-07,Belmont Loan Services,97.0,clean,1
LN100002,2025-06,Belmont Loan Services,100.0,clean,0
LN100002,2025-07,Belmont Loan Services,97.0,clean,1
LN100002,2025-08,Belmont Loan Services,97.0,clean,1
LN100002,2025-09,Belmont Loan Services,97.0,clean,1
LN100002,2025-10,Belmont Loan Services,100.0,clean,0
LN100002,2025-11,Belmont Loan Services,97.0,clean,1
LN100002,2025-12,Belmont Loan Services,97.0,clean,1
LN100002,2026-01,Belmont Loan Services,97.0,clean,1
LN100002,2026-02,Belmont Loan Services,97.0,clean,1
LN100002,2026-03,Belmont Loan Services,97.0,clean,1
LN100003,2020-01,Northgate Servicing,97.0,clean,1
LN100003,2020-02,Northgate Servicing,100.0,clean,0
LN100003,2020-03,Northgate Servicing,97.0,clean,1
LN100003,2020-04,Northgate Servicing,97.0,clean,1
LN100003,2020-05,Northgate Servicing,97.0,clean,1
LN100003,2020-06,Northgate Servicing,100.0,clean,0
LN100003,2020-07,Northgate Servicing,97.0,clean,1
LN100003,2020-08,Northgate Servicing,91.0,clean,1
LN100003,2020-09,Northgate Servicing,88.0,watch,2
LN100003,2020-10,Northgate Servicing,97.0,clean,1
LN100003,2020-11,Northgate Servicing,97.0,clean,1
LN100003,2020-12,Northgate Servicing,97.0,clean,1
LN100003,2021-01,Northgate Servicing,87.0,watch,1
LN100003,2021-02,Northgate Servicing,93.0,clean,1
