scenario_name,macro_input,isolated_contribution,share_of_total
adverse_credit,unemployment_rate,0.00011174766930210217,-10.353900048163373
adverse_credit,market_mortgage_rate,0.0,-0.0
adverse_credit,hpi_yoy_growth,0.0,-0.0
adverse_credit,rate_incentive,0.0,-0.0
adverse_credit,refi_incentive_positive,0.0,-0.0
adverse_credit,market_rate_delta_12m,0.0,-0.0
adverse_credit,interaction_residual,-1.521272373103226e-05,1.4095239923582723
adverse_credit,unemployment_delta_12m,-0.00010732775492621957,9.944376055805101
high_prepayment,market_rate_delta_12m,6.870389640525193e-05,3.276942385514684
high_prepayment,interaction_residual,5.636250267261958e-05,2.68829984360935
high_prepayment,rate_incentive,3.330477033386403e-05,1.5885243669895883
high_prepayment,unemployment_rate,0.0,0.0
high_prepayment,hpi_yoy_growth,0.0,0.0
high_prepayment,unemployment_delta_12m,0.0,0.0
high_prepayment,refi_incentive_positive,-6.587162185281437e-05,-3.141852514140405
high_prepayment,market_mortgage_rate,-7.153369331963123e-05,-3.411914081973218
