scenario_name,macro_input,isolated_contribution,share_of_total
adverse_credit,interaction_residual,8.531625238228369e-06,-0.003184623069437541
adverse_credit,market_mortgage_rate,0.0,-0.0
adverse_credit,hpi_yoy_growth,0.0,-0.0
adverse_credit,rate_incentive,0.0,-0.0
adverse_credit,refi_incentive_positive,0.0,-0.0
adverse_credit,market_rate_delta_12m,0.0,-0.0
adverse_credit,unemployment_rate,-0.00018065009197634763,0.06743175354516093
adverse_credit,unemployment_delta_12m,-0.002506887824494708,0.9357528695242766
high_prepayment,refi_incentive_positive,0.0072451986323727735,0.6168105054908537
high_prepayment,rate_incentive,0.005407349140962386,0.46034759379816237
high_prepayment,interaction_residual,0.0010889409764356928,0.09270556518959566
high_prepayment,market_rate_delta_12m,0.0010711504799128801,0.09119099454633704
high_prepayment,unemployment_rate,0.0,0.0
high_prepayment,hpi_yoy_growth,0.0,0.0
high_prepayment,unemployment_delta_12m,0.0,0.0
high_prepayment,market_mortgage_rate,-0.0030664083080701454,-0.26105465902494884
