horizon_month,Current,DQ30,DQ60,DQ90plus,Default,Prepaid,scenario_name
0,0.8253333333333334,0.008,0.004666666666666667,0.162,0.0,0.0,adverse_credit
1,0.7760849004916022,0.028989036052372547,0.008397682849570641,0.12492492845031959,0.03528509110011382,0.026318361056021353,adverse_credit
2,0.7317064252737937,0.03801396791673505,0.017998528463271313,0.09885376130313281,0.0625233401478253,0.05090397689524194,adverse_credit
3,0.6908320610375066,0.041649510912324245,0.0252936621930058,0.0841436499912078,0.08410527119941068,0.07397584466654498,adverse_credit
4,0.6527654026625929,0.04261826707739677,0.029591757247574676,0.07681845417072296,0.10249577966921129,0.09571033917250163,adverse_credit
5,0.6170957740948168,0.042194905633224325,0.03166042287012376,0.0735152071076632,0.11929625221361032,0.11623743808056197,adverse_credit
6,0.5835517260607941,0.04103497790471433,0.03228911441755166,0.07209195087535118,0.1353783209377616,0.1356539098038275,adverse_credit
7,0.55193724914939,0.039496065290254574,0.032041858690871,0.07134057320699427,0.15114900160491382,0.15403525205757668,adverse_credit
8,0.5221005045880629,0.03777934958154007,0.031281610132738266,0.07064140912229946,0.16675336334888616,0.1714437632264736,adverse_credit
9,0.49391710185110754,0.03599940092829737,0.03023287727334606,0.06971492793122504,0.18220220199239948,0.18793349002362492,adverse_credit
10,0.46728063713253615,0.03422138071505298,0.029032385351413115,0.06846665169380342,0.19744581852218218,0.20355312658501257,adverse_credit
11,0.44209714127597216,0.03248182868038717,0.02776291300439817,0.0668963012515381,0.2124141448510432,0.2183476709366616,adverse_credit
12,0.418281731582108,0.030800582148299886,0.02647444198367899,0.06504673004381681,0.2270371576517821,0.23235935659031465,adverse_credit
0,0.8253333333333334,0.008,0.004666666666666667,0.162,0.0,0.0,base
1,0.8055328052323409,0.009703219739518504,0.008367215525221742,0.12489446112597069,0.035254623775764916,0.016247674601183225,base
2,0.7863654997021203,0.010600885734932505,0.009928257135580211,0.09877213236102447,0.0624434583507864,0.03188976671555613,base
3,0.767746239501453,0.010991075403190637,0.010462997037340813,0.0798387975198586,0.08395264931068117,0.04700824122747577,base
4,0.7496180999668458,0.011080978364512679,0.010491400519666617,0.06580550845743255,0.10134442338908553,0.06165958930245685,base
5,0.7319436624393975,0.011000364391777828,0.010274844608161759,0.05521259822565132,0.11568382842739794,0.07588470190761373,base
6,0.7146976921125611,0.01082683022623663,0.009949531698375653,0.04709272816137608,0.12771878842524798,0.08971442937620265,base
7,0.6978622426027224,0.010605565368821032,0.009586674203849118,0.04078557866865356,0.1379870224107475,0.10317291674520636,base
8,0.6814236354944027,0.010362354358276041,0.009222501102004383,0.03582908502950121,0.1468827328680066,0.1162796911478091,base
9,0.6653706654427677,0.010111592735149229,0.00887421869440769,0.031892836037541956,0.15469967730815892,0.12905100978197453,base
10,0.6496935568570386,0.009861085193034597,0.008548792514255978,0.028736035930530222,0.16165977577404275,0.14150075373109783,base
11,0.6343833678033474,0.009614872817343651,0.00824783854310209,0.02618029824698767,0.16793258729724114,0.15364103529197798,base
12,0.6194316554294902,0.00937488174849173,0.007970340093970997,0.02409162644492148,0.17364887593761927,0.16548262034550615,base
0,0.8253333333333334,0.008,0.004666666666666667,0.162,0.0,0.0,high_prepayment
1,0.808901150102546,0.008320523818234941,0.008365031171475638,0.12489227677222459,0.03525243942201881,0.014268578713499916,high_prepayment
2,0.792825961459435,0.008588793444492045,0.009349585521836352,0.09876620618174667,0.062437657433012814,0.028031795959476965,high_prepayment
3,0.7770984950875307,0.008684395459771366,0.009380099243656802,0.07952989685004515,0.08394144689801669,0.04136566646097892,high_prepayment
4,0.7616984451334765,0.008646170203310408,0.00906834712848868,0.06500526781198651,0.10126127002684404,0.05432049969589321,high_prepayment
5,0.7466089383252039,0.008526776889936926,0.008646297991652015,0.053864066886756344,0.11542149027116315,0.06693242963528684,high_prepayment
6,0.7318177678156452,0.008364506243142021,0.008208186165481114,0.045222941441819826,0.1271578435663718,0.0792287547675391,high_prepayment
7,0.7173160865240832,0.008183008961711879,0.007792818442957582,0.038463204765918454,0.13701405695955463,0.09123082434577318,high_prepayment
8,0.7030970931254255,0.007995745879297363,0.007414630272425799,0.033137396220362415,0.14539934789198009,0.10295578661050757,high_prepayment
9,0.689155131110206,0.007809885544157855,0.007076817546606752,0.02891480272232966,0.15262563438541885,0.11441772869127947,high_prepayment
10,0.6754851443641866,0.007628932776241085,0.006777445000094823,0.025547110143554007,0.15893291202327045,0.1256284556926514,high_prepayment
11,0.6620823703493904,0.007454346608797469,0.006512456548810583,0.02284561778851965,0.16450716807954466,0.13659804062493552,high_prepayment
12,0.6489421773547889,0.007286492831067195,0.006277182192983369,0.02066558161522318,0.16949334394972507,0.14733522205621052,high_prepayment
