servicer_name,loans,adverse_credit,base,high_prepayment,delta_adverse_credit,delta_high_prepayment
"PENNYMAC LOAN SERVICES, LLC",277,0.010645320265530339,0.00999600898332132,0.011015972702854523,0.0006493112822090197,0.0010199637195332043
ONSLOW BAY FINANCIAL LLC,345,0.007219185891242092,0.006842197616179643,0.007325322189118006,0.0003769882750624485,0.0004831245729383631
FREEDOM MORTGAGE CORPORATION,506,0.012491833812151437,0.01229227444090115,0.012779621698206733,0.00019955937125028765,0.0004873472573055839
"LAKEVIEW LOAN SERVICING, LLC",852,0.014285598120552847,0.014101823080074903,0.013092212906837337,0.00018377504047794452,-0.001009610173237566
"WELLS FARGO BANK, N.A.",730,0.002621521684959608,0.0024911982442737675,0.00226728708712762,0.00013032344068584058,-0.00022391115714614747
U.S. BANK N.A.,408,0.010768194881349663,0.010641353443873012,0.010869708083369171,0.0001268414374766512,0.0002283546394961592
"CMG MORTGAGE, INC.",10,0.0010287573892477832,0.0009140859485979556,0.0009529272449805091,0.00011467144064982761,3.8841296382553445e-05
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",1480,0.002892765195086237,0.0028186388589738,0.002999909809659564,7.412633611243681e-05,0.00018127095068576392
"UNITED WHOLESALE MORTGAGE, LLC",296,0.01739618690923041,0.01737469338343978,0.01788131191233505,2.1493525790630685e-05,0.0005066185288952717
SUNTRUST BANK,1,1e-06,1e-06,1e-06,0.0,0.0
"MARLIN MORTGAGE CAPITAL, LLC",2,0.0005483605343747366,0.0005483605343747366,0.0005483605343747366,0.0,0.0
"GUARANTEED RATE, INC.",3,0.0010957210687494734,0.0010957210687494734,0.0010957210687494734,0.0,0.0
BRANCH BANKING AND TRUST COMPANY,2,0.00038015072133637057,0.00038015072133637057,1e-06,0.0,-0.00037915072133637055
MATRIX FINANCIAL SERVICES CORPORATION,105,0.011012676967868631,0.011012995718847398,0.011092417738095309,-3.1875097876617187e-07,7.942201924791142e-05
"LOANDEPOT.COM, LLC",216,0.0048113791838037346,0.004821347124989222,0.0048888361019944196,-9.967941185487668e-06,6.748897700519733e-05
"PINGORA LOAN SERVICING, LLC",50,0.000954313465837155,0.0009694794946906099,0.0009240482345130599,-1.5166028853454833e-05,-4.5431260177549934e-05
NATIONSTAR MORTGAGE LLC DBA MR. COOPER,295,0.0008026340935622794,0.0008186181745828713,0.0008163434902923335,-1.598408102059185e-05,-2.2746842905377795e-06
PHH MORTGAGE CORPORATION,61,0.002424901300799278,0.0024449936421228886,0.0016790099238708698,-2.0092341323610634e-05,-0.0007659837182520189
PHH ASSET SERVICES LLC,145,0.00494333990915606,0.004963711247266208,0.0039088203114321235,-2.0371338110148317e-05,-0.0010548909358340849
"QUICKEN LOANS, LLC",153,0.0013926478776542758,0.001414649734370792,0.0013603540511024413,-2.2001856716516313e-05,-5.429568326835075e-05
"CALIBER HOME LOANS, INC.",133,0.0017195898633069833,0.0017421442762236786,0.0015842763158459327,-2.2554412916695344e-05,-0.00015786796037774598
TRUIST BANK,521,0.0011228284068962664,0.0011473789838202812,0.001150428844709552,-2.4550576924014774e-05,3.049860889270872e-06
"PROVIDENT FUNDING ASSOCIATES, L.P.",22,0.0006364734753720771,0.0006709417227662927,0.0006708477324858505,-3.446824739421553e-05,-9.399028044212131e-08
QUICKEN LOANS INC.,29,0.0011512959807244542,0.001189044983095126,0.001189044983095126,-3.77490023706717e-05,0.0
"FIFTH THIRD BANK, NATIONAL ASSOCIATION",226,0.007231312984187956,0.007269473983737443,0.007649695229125906,-3.816099954948721e-05,0.00038022124538846305
OTHER,3844,0.012606094327674719,0.012648870120112328,0.012438455695817526,-4.277579243760869e-05,-0.00021041442429480146
GUILD MORTGAGE COMPANY LLC,124,0.01894757556864802,0.018991420691001536,0.01905661933595852,-4.3845122353516897e-05,6.51986449569826e-05
"BANK OF AMERICA, N.A.",24,0.0002150494049029431,0.0002606627827675045,0.0002466452983476406,-4.56133778645614e-05,-1.401748441986388e-05
"CITIZENS BANK, NA",313,0.003560601216134946,0.00361069052252706,0.0035964514755103386,-5.008930639211406e-05,-1.4239047016721337e-05
"UNITED SHORE FINANCIAL SERVICES, LLC",51,0.0007359040267877743,0.0007986236545471692,0.0007722378015215431,-6.271962775939496e-05,-2.6385853025626127e-05
HOME POINT FINANCIAL CORPORATION,35,0.0006843819504985781,0.0007565494294578832,0.0006939939398150562,-7.21674789593051e-05,-6.255548964282699e-05
NEW RESIDENTIAL MORTGAGE LLC,905,0.006099465733332451,0.00617648565792013,0.006111692629537159,-7.701992458767834e-05,-6.479302838297094e-05
"CROSSCOUNTRY MORTGAGE, LLC",219,0.008990326530278094,0.009072561802733843,0.009079308006304118,-8.223527245574888e-05,6.7462035702754025e-06
TH MSR HOLDINGS LLC,302,0.01596696439756179,0.016066048044848177,0.016256790313757475,-9.90836472863875e-05,0.0001907422689092983
NEWREZ LLC,7,0.0004221062257388125,0.0005304350032634898,0.0004221062257388125,-0.00010832877752467733,-0.00010832877752467733
SPECIALIZED LOAN SERVICING LLC,13,0.0010985419387423223,0.0012385076047924564,0.0011244203715174556,-0.00013996566605013402,-0.00011408723327500079
"AMERIHOME MORTGAGE COMPANY, LLC",242,0.007907748681519043,0.008053261353700996,0.008218486327211684,-0.00014551267218195288,0.00016522497351068727
"ROCKET MORTGAGE, LLC",2229,0.00856084459174511,0.008754636105457849,0.009224731216507177,-0.00019379151371273946,0.00047009511104932795
PENNYMAC CORP.,492,0.006064718935070215,0.0062831317383430325,0.006520984854901731,-0.00021841280327281748,0.00023785311655869813
"PNC BANK, NA",332,0.007100211157813841,0.007327848183267633,0.006965718385908914,-0.000227637025453792,-0.0003621297973587191
