state,loans,adverse_credit,base,high_prepayment,delta_adverse_credit,delta_high_prepayment
MN,354,0.012135283166941443,0.011517573049868082,0.012228553470861391,0.0006177101170733619,0.0007109804209933096
MD,352,0.004267707701103184,0.0037223752878235224,0.004467399264986584,0.0005453324132796617,0.0007450239771630619
VT,31,0.012209258052979961,0.011794900910296748,0.017322419636524738,0.0004143571426832131,0.0055275187262279896
UT,270,0.0034080227279645677,0.0031293514103755173,0.0035823894257150262,0.0002786713175890504,0.00045303801533950897
OH,570,0.014918306582882183,0.014647648629641932,0.014687660766163157,0.00027065795324025116,4.001213652122561e-05
FL,1186,0.009566767190727864,0.009337250853997866,0.00919880541351957,0.00022951633672999884,-0.0001384454404782954
NV,183,0.011941412996519457,0.011741567751372351,0.012250372454235372,0.00019984524514710632,0.0005088047028630211
AZ,538,0.013032365781989678,0.012879920224684418,0.013067534898177012,0.00015244555730526028,0.00018761467349259417
CA,1795,0.007121093501356396,0.007000828454265881,0.007143678180819716,0.00012026504709051512,0.0001428497265538349
MO,296,0.006081096370784295,0.005982840461581118,0.006382912455651467,9.825590920317737e-05,0.0004000719940703496
WV,53,0.0007280436016586172,0.0006599657132407936,0.0007486987161633244,6.807788841782362e-05,8.873300292253083e-05
CO,463,0.009611631408404583,0.009588932345383053,0.009707310287554746,2.269906302152999e-05,0.00011837794217169247
IA,126,0.0003706107319294308,0.0003706107319294308,0.0003732807289617858,0.0,2.669997032355017e-06
PR,2,0.0005483605343747366,0.0005483605343747366,0.0005483605343747366,0.0,0.0
VI,1,1e-06,1e-06,1e-06,0.0,0.0
KS,126,0.0031758619077794275,0.003185220656083099,0.003186061237311949,-9.35874830367174e-06,8.405812288499875e-07
VA,436,0.007444507273007427,0.007456566529363341,0.007657021519191126,-1.2059256355913955e-05,0.00020045498982778492
DE,63,0.0007817218830847587,0.0007978457347436077,0.0007978457347436077,-1.612385165884896e-05,0.0
OR,303,0.007854645704553949,0.007871286898488638,0.0070086352606430966,-1.664119393468902e-05,-0.000862651637845541
NE,84,0.008165086533839558,0.008186128918612213,0.006921310051349468,-2.104238477265534e-05,-0.0012648188672627451
HI,34,0.0010698431262726824,0.0010921461098807044,0.001037645447780051,-2.230298360802194e-05,-5.450066210065346e-05
SD,42,0.011502215449213283,0.01152828023656446,0.011564389829072687,-2.60647873511783e-05,3.610959250822596e-05
WA,466,0.0008303541424358357,0.0008622679860774232,0.000801656437835597,-3.191384364158742e-05,-6.06115482418262e-05
NH,68,0.0013545339922350849,0.0013878922356430397,0.002139813960685099,-3.335824340795486e-05,0.0007519217250420594
DC,31,0.00015586342230948072,0.00019117700517236696,0.0001775679143144312,-3.5313582862886244e-05,-1.360909085793577e-05
AL,183,0.004579440394273451,0.004616515582789529,0.004544701818285234,-3.707518851607788e-05,-7.181376450429537e-05
MA,383,0.004735193898811323,0.0047765857755512784,0.004849255476976617,-4.1391876739955806e-05,7.266970142533885e-05
TX,1254,0.012583596613225083,0.012626324920739534,0.012261238353655411,-4.272830751445196e-05,-0.0003650865670841233
WY,33,0.00034551795466941643,0.0003914756178617038,0.00034551795466941643,-4.595766319228739e-05,-4.595766319228739e-05
IN,387,0.006721746115051935,0.006769856939415652,0.006661914449036374,-4.811082436371756e-05,-0.00010794249037927861
MT,60,0.0011688672700298467,0.0012193650108890174,0.0012684839977261976,-5.049774085917071e-05,4.9118986837180236e-05
NC,519,0.00327521430125958,0.0033291592486778478,0.0035485386093387907,-5.394494741826775e-05,0.00021937936066094297
RI,36,0.0013671704809777522,0.0014245336521384589,0.0014140772006072228,-5.736317116070665e-05,-1.0456451531236062e-05
ME,69,0.00034271894669902575,0.00040130539088628896,0.00040986652683954854,-5.858644418726321e-05,8.561135953259584e-06
CT,166,0.009249210424987586,0.009309259095727912,0.009282398551211898,-6.0048670740326174e-05,-2.6860544516013954e-05
ND,33,0.00011330439463164936,0.00018224088942008038,0.0001592620578239367,-6.893649478843102e-05,-2.2978831596143695e-05
LA,138,0.010609079060991053,0.010683854277600161,0.011676905482566264,-7.477521660910827e-05,0.0009930512049661031
AK,34,0.0018541700158833292,0.0019479912736528784,0.002016356766768942,-9.38212577695492e-05,6.836549311606374e-05
TN,314,0.00964952990396018,0.009745116042259453,0.009415490981799095,-9.558613829927301e-05,-0.00032962506046035726
IL,685,0.004299249965611634,0.004402927100638179,0.004157178191305374,-0.00010367713502654544,-0.00024574890933280486
AR,117,0.006583285670624107,0.006690349241459261,0.007296173203876413,-0.00010706357083515444,0.0006058239624171513
ID,142,0.01490546802032367,0.01502236151950585,0.015004977719947096,-0.00011689349918217982,-1.7383799558753563e-05
NM,77,0.0015935157805783942,0.0017280572710180876,0.0017350646366548156,-0.00013454149043969337,7.0073656367279896e-06
OK,144,0.005593703953574233,0.005732650786393787,0.005676930760900388,-0.0001389468328195538,-5.572002549339861e-05
NY,526,0.01772319875836413,0.017892445913553736,0.01829706017987806,-0.00016924715518960506,0.00040461426632432476
SC,245,0.012354675158431642,0.012546244157363056,0.012007044212485425,-0.00019156899893141462,-0.0005391999448776316
PA,518,0.014744607211393174,0.014952975890172106,0.013872142063797213,-0.0002083686787789328,-0.0010808338263748937
MS,57,0.0037717019952546137,0.0040058459473110725,0.003838947803776607,-0.00023414395205645887,-0.00016689814353446552
WI,238,0.0015558154551449383,0.001805417836231796,0.002005376780305054,-0.0002496023810868576,0.00019995894407325823
GA,540,0.009980361121177127,0.010290067590857353,0.010031248262492656,-0.00030970646968022514,-0.00025881932836469695
MI,567,0.010495419982627825,0.01081906464896369,0.011038108030622489,-0.0003236446663358646,0.00021904338165879868
KY,213,0.005498168574618741,0.005872532336139982,0.006385090470110458,-0.000374363761521241,0.000512558133970476
NJ,449,0.010107311125264713,0.010940926005074085,0.01114609713716606,-0.0008336148798093728,0.00020517113209197503
