feature,plain_english,mean_abs_shap,mean_signed_shap,direction_corr_with_value,share_of_total_attribution,direction
dq_score,record data-quality score,1.1373206588430687,-0.026218042542603168,0.04783082545302728,0.5176144982553359,non-monotone / categorical
dq_violation_count,dq violation count,0.21348577797416712,-0.01059713487881158,-0.0161687612762276,0.097161106669035,non-monotone / categorical
missing_field_count,missing field count,0.18669363104270914,0.034828049364486906,-0.0804159131503899,0.08496753260240635,higher value lowers risk
svc_present,svc present,0.1087338971675199,-0.02047287482429234,,0.049486695935837315,non-monotone / categorical
doc_incomplete,doc incomplete,0.10759765461825285,-0.0024240759729501926,,0.04896957210408216,non-monotone / categorical
svc_balance_rel_gap,servicer feed balance gap,0.08732557480645146,-0.0033337376118237824,-0.032476566001350154,0.03974339447441371,non-monotone / categorical
dti_ord,debt-to-income band,0.06918652299288952,0.02279367563324779,-0.09801570792597125,0.031487995145911815,higher value lowers risk
reporting_lag_days,servicer reporting lag,0.04175990450015769,0.0007926509878729396,-0.0306778661017685,0.019005661988966343,non-monotone / categorical
document_status,document custody status,0.04118017911020929,-0.0036318911644503318,,0.018741818837511356,non-monotone / categorical
ltv_ord,loan-to-value band,0.027460045519086162,0.007880796485979771,0.01588003285697365,0.012497546380533766,non-monotone / categorical
unemployment_delta_12m,unemployment delta 12m,0.020019169697742666,-0.020019169697742666,-0.03536849362608671,0.009111073818993478,non-monotone / categorical
svc_status_conflict,svc status conflict,0.01638571739307234,0.002003609650715555,,0.007457426206956093,non-monotone / categorical
age_repaired,age repaired,0.013498744718107037,-0.0021755044520067285,,0.0061435145137058046,non-monotone / categorical
dpd_status_residual,days past due against reported status,0.011986567438443611,0.002495562371823811,0.11143706114495519,0.005455296219419016,higher value raises risk
credit_ord,credit score band,0.009985331618872266,0.0027591126662219892,0.10609185265713322,0.004544498840875169,higher value raises risk
stale_reporting,stale reporting,0.009222572080865552,0.004400054615642212,,0.0041973536514468505,non-monotone / categorical
interest_rate_clean,note rate,0.009095453200907957,-0.003154316017011791,-0.11882692032219316,0.004139499628699243,higher value lowers risk
state,state,0.008648803962151902,-0.0003038652239658625,,0.0039362217581908315,non-monotone / categorical
payment_to_balance,scheduled payment relative to balance,0.007226354067688252,0.0034108150126545686,-0.050523999725235344,0.003288839964242646,higher value lowers risk
rate_incentive,refinance incentive (note rate less market rate),0.006189956030329402,0.002378013536065569,-0.13330243617344542,0.0028171571139143834,higher value lowers risk
market_rate_delta_12m,market rate delta 12m,0.005382327379002646,0.005215754572910219,0.039899438460005036,0.002449591207252334,non-monotone / categorical
balance_change_1m,balance change 1m,0.004872488278906993,-0.001007110586815686,0.05560939074724776,0.0022175545270645193,higher value raises risk
days_past_due_clean,days past due,0.0047121545383116276,0.000856826437014273,0.013476100358255949,0.0021445838410522793,non-monotone / categorical
remaining_term_months,remaining term months,0.0035989997306416573,0.0010580507286719117,-0.032983475436036344,0.0016379676437885044,non-monotone / categorical
log_original_balance,original balance,0.003078361401653665,-2.1641235039502877e-05,-0.0398244424926693,0.0014010160458937182,non-monotone / categorical
