feature,plain_english,mean_abs_shap,mean_signed_shap,direction_corr_with_value,share_of_total_attribution,direction
credit_ord,credit score band,0.884586677803387,-0.026859418865087664,-0.19169032760148627,0.12853139164490568,higher value lowers risk
interest_rate_clean,note rate,0.3316309339526024,0.2669051988124405,-0.06690052538621753,0.048186329867949754,higher value lowers risk
state,state,0.32223159445182536,-0.04205273386130748,,0.046820595772137014,non-monotone / categorical
dti_ord,debt-to-income band,0.28726941230289255,-0.016121716779724956,-0.01789035927016282,0.041740553262674965,non-monotone / categorical
credit_score_band,credit score band,0.2737568187132267,-0.006389913165630391,,0.039777158942601545,non-monotone / categorical
market_rate_delta_12m,market rate delta 12m,0.2645131773124785,-0.26408859432521964,0.05477747015584454,0.038434047947469976,higher value raises risk
loan_purpose,loan purpose,0.2543986120102366,0.009547689116760816,,0.036964390776723643,non-monotone / categorical
loan_age_months_clean,loan age,0.2337885554250964,0.03935357441482576,-0.2466566465638989,0.03396972748228376,higher value lowers risk
status_ord,current performance status,0.2136355656833188,0.026537012707204623,0.0930554052854345,0.031041476489686384,higher value raises risk
unemployment_rate,unemployment rate,0.2121356244189465,0.2121356244189465,-0.07271213237097174,0.030823533417590695,higher value lowers risk
payment_to_balance,scheduled payment relative to balance,0.2117573135063088,0.16038209011421545,0.1151099973261057,0.030768564436827246,higher value raises risk
term_progress,share of term elapsed,0.21042504770890982,0.06717950437634396,-0.027374708526313907,0.03057498478965709,non-monotone / categorical
scheduled_payment,scheduled monthly payment,0.19864668295463503,0.025998117872961794,0.09810526599252045,0.02886357577666183,higher value raises risk
ltv_ord,loan-to-value band,0.18794457376366344,0.004807058097805924,0.17574988024869367,0.027308547849644992,higher value raises risk
rate_incentive,refinance incentive (note rate less market rate),0.18596062764708984,0.048435551549905004,0.03807385985036051,0.027020278354172908,non-monotone / categorical
balance_change_1m,balance change 1m,0.17831597067358254,0.10057805591629354,-0.002331668026533037,0.025909501508773455,non-monotone / categorical
log_original_balance,original balance,0.17036917418208467,-0.01408572219018586,0.1139239479331504,0.02475482346782957,higher value raises risk
servicer_name,servicer,0.14325315265321,-3.062571854485066e-06,,0.02081483649941387,non-monotone / categorical
months_dq_last_12m,months delinquent in last 12 months,0.14262638324872728,0.01644335799234764,0.06698044859324999,0.020723766233695352,higher value raises risk
log_current_balance,current balance,0.13193663083192245,0.00990034980945964,0.08946826089533484,0.019170533759198596,higher value raises risk
ltv_band,ltv band,0.1230986767516063,-0.00036873443018781913,,0.017886369566202136,non-monotone / categorical
property_type,property type,0.10724848517400772,-0.005515856747462552,,0.015583319754999894,non-monotone / categorical
refi_incentive_positive,positive refinance incentive,0.10636011352451097,-0.0509258234332577,-0.09835098247004276,0.015454238402914376,higher value lowers risk
max_dpd_last_12m,worst days past due in last 12 months,0.10454174433615901,0.011640596731630622,0.0763959282512953,0.015190027412439747,higher value raises risk
balance_change_3m,balance change 3m,0.10283167174066116,0.030772769502992195,-0.16769537155713335,0.01494155203288852,higher value lowers risk
