feature,plain_english,mean_abs_shap,mean_signed_shap,direction_corr_with_value,share_of_total_attribution,direction
interest_rate_clean,note rate,0.6619208840130315,0.5278904833865545,-0.0852515318000002,0.10562957683268731,higher value lowers risk
market_rate_delta_12m,market rate delta 12m,0.6412567534987001,0.6412567534987001,0.001351812523082886,0.10233198732529647,non-monotone / categorical
current_streak_clean,consecutive clean months,0.45130499501773913,-0.2990605110941323,0.08982499710738609,0.07201941621358984,higher value raises risk
state,state,0.33269076663027436,-0.014321908822768093,,0.053090914252837434,non-monotone / categorical
loan_purpose,loan purpose,0.3084598896680545,-0.04222460188690368,,0.04922414204240842,non-monotone / categorical
scheduled_payment,scheduled monthly payment,0.2697497972512508,0.05780494450478289,-0.11056774044645436,0.043046771332556806,higher value lowers risk
credit_ord,credit score band,0.24878513777366648,0.03029640938578942,0.1354891736874304,0.03970122330326238,higher value raises risk
servicer_name,servicer,0.20452860200214001,7.705935965872699e-05,,0.03263874913371345,non-monotone / categorical
credit_score_band,credit score band,0.20442456291310937,0.006336882736437938,,0.03262214653782353,non-monotone / categorical
log_original_balance,original balance,0.20414967149721072,0.06712962345906753,-0.04234876497391296,0.032578279265106175,non-monotone / categorical
ltv_ord,loan-to-value band,0.171210602859156,-0.0014606988253165808,-0.07870179538733282,0.027321850641180086,higher value lowers risk
log_current_balance,current balance,0.14556843377294043,0.033586593211401394,-0.08029324024187763,0.023229863917286594,higher value lowers risk
amortisation_residual,balance against expected amortisation,0.14199208774862895,-0.06227172701015726,0.20546422248097,0.02265914931033087,higher value raises risk
remaining_term_months,remaining term months,0.13875418249562063,0.0236475586708776,0.03004423316106475,0.0221424432054773,non-monotone / categorical
payment_to_balance,scheduled payment relative to balance,0.13820019493028082,0.05967433691161227,0.15026092333582616,0.022054037667125586,higher value raises risk
refi_incentive_positive,positive refinance incentive,0.13814136017712997,-0.08706314421450269,-0.15819581654364007,0.022044648795693244,higher value lowers risk
term_progress,share of term elapsed,0.13421918132662747,0.0065135199712598926,-0.0681365634948962,0.021418746059811988,higher value lowers risk
balance_change_3m,balance change 3m,0.1273535455248376,-0.024859811350680255,-0.05273505638501244,0.020323125386788876,higher value lowers risk
market_mortgage_rate,market mortgage rate,0.11816138100797734,-0.115096482580484,-0.08333845754904481,0.018856236410260862,higher value lowers risk
loan_age_months_clean,loan age,0.11418506098764367,0.01213360211200456,-0.12990758243543377,0.018221693806690555,higher value lowers risk
ltv_band,ltv band,0.11168617865929499,-0.008730169857457835,,0.017822921250523625,non-monotone / categorical
balance_ratio,balance as a share of original,0.1051398433959164,-0.032752999421641185,-0.09724300488353363,0.016778254674235382,higher value lowers risk
unemployment_delta_12m,unemployment delta 12m,0.09843433101788063,0.09832611578843181,0.012311209998866868,0.015708186555755652,non-monotone / categorical
rate_incentive,refinance incentive (note rate less market rate),0.09384226435493069,-0.0414408281892166,-0.11032745351498727,0.014975382877687468,higher value lowers risk
occupancy_type,occupancy type,0.09349124041683265,0.019604352173876013,,0.014919366349224668,non-monotone / categorical
