feature,plain_english,mean_abs_shap,mean_signed_shap,direction_corr_with_value,share_of_total_attribution,direction
credit_ord,credit score band,0.18076363009626803,-0.000950826538231355,-0.10659518123590558,0.20547819820345323,higher value lowers risk
ever_delinquent_to_date,has ever been delinquent,0.09987260036609669,0.03873890219747968,,0.11352749423205333,non-monotone / categorical
months_dq_last_12m,months delinquent in last 12 months,0.07812803701460377,0.01807236981289731,-0.14168129849309172,0.08880994626177802,higher value lowers risk
amortisation_residual,balance against expected amortisation,0.07331933743071353,-0.04404293057631308,0.3986442909470309,0.0833437862511982,higher value raises risk
credit_score_band,credit score band,0.07016402812760998,-0.0005188377320942213,,0.07975707320482364,non-monotone / categorical
state,state,0.06174207051186267,-0.00044544141948709516,,0.07018363923855514,non-monotone / categorical
balance_change_1m,balance change 1m,0.046615659596745,-0.003971807478925406,0.08808778592296007,0.05298909817701447,higher value raises risk
months_dq_last_3m,months dq last 3m,0.04625180443703545,0.004323755989631744,-0.14087744290005094,0.05257549560339758,higher value lowers risk
balance_change_3m,balance change 3m,0.042997370668085164,-0.008868371290004642,-0.3652766983292197,0.048876105484598545,higher value lowers risk
servicer_name,servicer,0.037043157291984916,-0.015786861805935647,,0.042107813458219075,non-monotone / categorical
current_streak_clean,consecutive clean months,0.030145757723603128,-0.022355483815588113,0.00870704339540416,0.03426737987738435,non-monotone / categorical
balance_ratio,balance as a share of original,0.018142463068875455,-0.01594620383062715,0.05176503846691942,0.02062295728615258,higher value raises risk
market_rate_delta_12m,market rate delta 12m,0.016190038031289555,-0.016189671620090225,0.739964702908994,0.01840359059918792,higher value raises risk
dti_ord,debt-to-income band,0.009620535067641945,0.0011180515429774732,0.42878114329498856,0.010935884671044876,higher value raises risk
months_dq_last_6m,months delinquent in last 6 months,0.00884168097035085,-0.00023254474095817698,-0.11742591214801107,0.010050543208885031,higher value lowers risk
worst_status_to_date,worst status reached to date,0.00871671971162358,0.003142940723285292,-0.2374324269210267,0.009908496856558292,higher value lowers risk
interest_rate_clean,note rate,0.005746747939667642,0.00406558425047422,0.587659190105927,0.006532461267476466,higher value raises risk
loan_purpose,loan purpose,0.005085351546969071,-0.00010232570137108803,,0.005780636694150575,non-monotone / categorical
amortisation_progress,amortisation progress,0.004648339999177828,-0.0035093702741613064,0.06317064988492233,0.005283875562575464,higher value raises risk
calendar_month,calendar month,0.004018009684439108,-0.0039052475023194475,-0.7027862839148944,0.00456736451842045,higher value lowers risk
days_past_due_clean,days past due,0.0038962704871900807,-0.001393816131144406,0.1909766587429845,0.004428980757881103,higher value raises risk
loan_age_months_clean,loan age,0.002868105376709074,-0.002510830288332259,-0.3036416915093752,0.0032602417021054503,higher value lowers risk
status_ord,current performance status,0.002805797861796012,-0.0010991206459149716,0.21689648292360764,0.0031894153091410445,higher value raises risk
remaining_term_months,remaining term months,0.0025716941321473007,-0.0011713149009818537,-0.14406141115365365,0.0029233041863708973,higher value lowers risk
payment_to_balance,scheduled payment relative to balance,0.002185354247156838,7.67866234472833e-05,0.025422277158064117,0.002484142705603486,non-monotone / categorical
