loan_id,reporting_month,current_status,calibrated_probability,baseline_log_odds,total_shap_log_odds,driver_1,driver_1_value,driver_1_log_odds,driver_2,driver_2_value,driver_2_log_odds,driver_3,driver_3_value,driver_3_log_odds,driver_4,driver_4_value,driver_4_log_odds
LN101279,2026-03,Current,0.8946,-2.9451,5.4668,record data-quality score,72.0,3.6458,dq violation count,3,0.6792,servicer feed balance gap,0.069,0.6038,age repaired,1,0.2897
LN100372,2026-01,Current,0.8914,-2.9451,5.4378,record data-quality score,77.0,3.5832,dq violation count,2,0.8799,age repaired,1,0.5783,missing field count,0,0.1822
LN100013,2026-06,Current,0.8914,-2.9451,5.4378,record data-quality score,77.0,3.5575,dq violation count,2,0.876,age repaired,1,0.5747,missing field count,0,0.1823
LN100171,2026-05,Current,0.8912,-2.9451,5.4361,record data-quality score,74.0,3.5896,dq violation count,3,1.0591,age repaired,1,0.5595,missing field count,0,0.1224
LN100834,2026-04,Current,0.8912,-2.9451,5.4361,record data-quality score,67.0,3.5867,dq violation count,4,1.058,age repaired,1,0.5021,missing field count,0,0.1214
LN100011,2026-06,Current,0.8912,-2.9451,5.4361,record data-quality score,74.0,3.5813,dq violation count,3,1.0522,age repaired,1,0.6055,missing field count,0,0.1239
LN100414,2026-06,Current,0.8904,-2.9451,5.4292,record data-quality score,74.0,3.5644,dq violation count,3,1.0613,age repaired,1,0.6048,missing field count,0,0.1225
LN100695,2026-05,Current,0.8893,-2.9451,5.42,record data-quality score,74.0,3.5525,dq violation count,3,1.0498,age repaired,1,0.6112,missing field count,0,0.1227
LN100892,2026-04,Current,0.8877,-2.9451,5.4058,record data-quality score,77.0,3.5622,dq violation count,2,0.8843,age repaired,1,0.5826,missing field count,0,0.1796
LN100921,2026-02,Current,0.887,-2.9451,5.3998,record data-quality score,83.0,3.4485,servicer reporting lag,-22.0,1.0176,dq violation count,3,0.8038,missing field count,0,0.1535
